Date,U.S. No 2 Diesel Retail Prices (Dollars per Gallon)
5/1/1994,1.1
6/1/1994,1.103
7/1/1994,1.11
8/1/1994,1.123
9/1/1994,1.125
10/1/1994,1.122
11/1/1994,1.131
12/1/1994,1.113
1/1/1995,1.098
2/1/1995,1.088
3/1/1995,1.088
4/1/1995,1.104
5/1/1995,1.126
6/1/1995,1.12
7/1/1995,1.1
8/1/1995,1.105
9/1/1995,1.119
10/1/1995,1.115
11/1/1995,1.12
12/1/1995,1.13
1/1/1996,1.145
2/1/1996,1.145
3/1/1996,1.183
4/1/1996,1.275
5/1/1996,1.273
6/1/1996,1.201
7/1/1996,1.176
8/1/1996,1.201
9/1/1996,1.265
10/1/1996,1.323
11/1/1996,1.323
12/1/1996,1.309
1/1/1997,1.291
2/1/1997,1.28
3/1/1997,1.229
4/1/1997,1.212
5/1/1997,1.196
6/1/1997,1.173
7/1/1997,1.151
8/1/1997,1.165
9/1/1997,1.16
10/1/1997,1.183
11/1/1997,1.192
12/1/1997,1.166
1/1/1998,1.12
2/1/1998,1.084
3/1/1998,1.063
4/1/1998,1.067
5/1/1998,1.069
6/1/1998,1.041
7/1/1998,1.029
8/1/1998,1.007
9/1/1998,1.024
10/1/1998,1.039
11/1/1998,1.022
12/1/1998,0.973
1/1/1999,0.967
2/1/1999,0.959
3/1/1999,0.997
4/1/1999,1.079
5/1/1999,1.073
6/1/1999,1.074
7/1/1999,1.122
8/1/1999,1.172
9/1/1999,1.215
10/1/1999,1.228
11/1/1999,1.263
12/1/1999,1.292
1/1/2000,1.356
2/1/2000,1.461
3/1/2000,1.479
4/1/2000,1.422
5/1/2000,1.42
6/1/2000,1.421
7/1/2000,1.434
8/1/2000,1.466
9/1/2000,1.637
10/1/2000,1.637
11/1/2000,1.621
12/1/2000,1.565
1/1/2020,1.524
2/1/2020,1.492
3/1/2020,1.399
4/1/2020,1.422
5/1/2020,1.496
6/1/2020,1.482
7/1/2020,1.375
8/1/2020,1.39
9/1/2020,1.495
10/1/2020,1.348
11/1/2020,1.259
12/1/2020,1.167
1/2/2020,1.153
2/2/2020,1.152
3/2/2020,1.23
4/2/2020,1.309
5/2/2020,1.305
6/2/2020,1.286
7/2/2020,1.299
8/2/2020,1.328
9/2/2020,1.411
10/2/2020,1.462
11/2/2020,1.42
12/2/2020,1.429
1/3/2020,1.488
2/3/2020,1.654
3/3/2020,1.708
4/3/2020,1.533
5/3/2020,1.451
6/3/2020,1.424
7/3/2020,1.435
8/3/2020,1.487
9/3/2020,1.467
10/3/2020,1.481
11/3/2020,1.482
12/3/2020,1.49
1/4/2020,1.551
2/4/2020,1.582
3/4/2020,1.629
4/4/2020,1.692
5/4/2020,1.746
6/4/2020,1.711
7/4/2020,1.739
8/4/2020,1.833
9/4/2020,1.917
10/4/2020,2.134
11/4/2020,2.147
12/4/2020,2.009
1/5/2020,1.959
2/5/2020,2.027
3/5/2020,2.214
4/5/2020,2.292
5/5/2020,2.199
6/5/2020,2.29
7/5/2020,2.373
8/5/2020,2.5
9/5/2020,2.819
10/5/2020,3.095
11/5/2020,2.573
12/5/2020,2.443
1/6/2020,2.467
2/6/2020,2.475
3/6/2020,2.559
4/6/2020,2.728
5/6/2020,2.897
6/6/2020,2.898
7/6/2020,2.934
8/6/2020,3.045
9/6/2020,2.783
10/6/2020,2.519
11/6/2020,2.545
12/6/2020,2.61
1/7/2020,2.485
2/7/2020,2.488
